Bedroom_AbvGr,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,Kitchen_Qual,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Sale_Price,Screen_Porch,Second_Flr_SF,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,id,Has_Pool,Total_Bath,Has_Alley,Has_Basement,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,House_Style_One_and_Half_Fin,House_Style_One_and_Half_Unf,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,House_Style_Two_and_Half_Fin,House_Style_Two_and_Half_Unf,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,Neighborhood_Blueste,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Green_Hills,Neighborhood_Greens,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Landmark,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northpark_Villa,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Neighborhood_Veenker,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,Sale_Condition_AdjLand,Sale_Condition_Alloca,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Partial,Street_Pave
3,1,0,5,1,3,1,3,190,5,0,2,2,4,1,1126,2,2,3,1126,2,17400,80,0,0,41,10,10,1,160000,0,0,0,5,1126,3,295,2924,0,3.0,0.0,1.0,0.0,0.0,29,2779,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,3,1,4,741,5,0,2,3,3,1,977,2,3,3,1732,3,9206,77,0,336,46,10,6,2,178000,0,755,0,7,741,3,192,245,0,2.5,0.0,1.0,0.0,0.0,25,3459,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,3,0,6,1,3,3,4,309,5,0,2,3,3,1,1299,2,2,3,1872,4,11885,0,0,108,122,10,8,2,261500,0,573,0,7,1299,3,160,866,0,3.5,0.0,1.0,0.0,0.0,8,3765,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,3,0,6,1,3,4,4,96,5,0,2,2,3,1,1356,2,3,3,1356,2,15957,0,0,0,0,6,6,2,188000,0,0,0,6,1244,3,1424,2294,0,4.0,0.0,1.0,1.0,0.0,30,4123,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,3,0,6,1,3,3,4,0,5,0,2,2,3,2,1224,2,1,3,1224,2,7018,64,0,275,0,10,10,2,153337,0,0,0,6,1086,3,120,809,0,3.0,0.0,1.0,0.0,0.0,30,2433,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3,7,0,1,1,3,1,4,847,5,0,2,3,4,1,847,2,3,3,1733,3,8577,63,0,0,48,10,7,2,185088,0,886,0,7,847,3,144,57,0,2.5,0.0,1.0,0.0,0.0,6,3626,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,7,0,1,1,3,1,3,1200,4,228,2,2,0,0,1200,1,1,2,1200,2,11340,84,0,0,0,10,6,2,125000,0,0,0,7,1200,3,0,2666,0,1.0,0.0,1.0,0.0,1.0,83,3607,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
3,7,0,1,1,3,1,3,884,5,208,2,2,2,1,884,1,1,3,1348,2,6000,50,0,0,0,8,10,0,117000,0,464,0,5,884,3,0,736,0,2.0,0.0,1.0,0.0,1.0,84,3123,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,3,1,3,684,5,115,2,2,0,0,773,0,0,0,1355,3,6882,60,0,0,0,7,6,2,127000,0,582,0,7,684,3,136,2034,0,1.5,0.0,1.0,0.0,1.0,93,2866,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,2,0,4,1,3,1,3,450,5,0,2,2,0,0,864,1,1,3,864,3,7332,60,0,207,0,6,6,2,120000,0,0,0,4,864,3,168,2614,0,2.0,0.0,1.0,0.0,0.0,47,2348,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,6,0,3,1,3,1,3,1411,5,32,2,2,4,2,1836,2,1,3,3672,3,19800,60,0,0,80,8,6,2,415000,0,1836,0,7,1836,3,684,2738,0,3.5,0.0,1.0,0.0,1.0,71,7689,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,5,0,0,0,0,0,0,0,5,0,3,2,0,0,929,0,0,0,1137,2,8050,57,0,0,0,8,10,2,96000,0,208,0,8,0,3,0,1507,0,1.5,0.0,0.0,0.0,1.0,61,1142,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,7,0,1,1,3,1,3,1560,5,0,2,2,0,0,1560,2,1,3,1560,2,8078,70,0,260,0,10,10,2,128600,0,0,0,8,1560,3,0,1932,0,2.0,0.0,1.0,0.0,0.0,49,4687,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2,4,0,2,1,3,1,3,0,5,244,2,2,0,0,1188,2,1,3,1869,2,8820,98,120,0,0,6,10,2,124900,0,561,0,7,1088,3,48,724,0,1.0,0.0,1.0,1.0,1.0,119,3009,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2,4,278,2,5,3,1,3,238,5,84,2,2,4,1,740,1,1,3,865,2,10042,62,0,0,0,8,6,2,108500,0,125,0,4,660,3,0,2189,0,2.0,0.0,1.0,0.0,1.0,87,2045,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,1,0,5,1,3,2,3,0,5,192,2,2,2,1,1194,2,3,3,1194,2,8910,79,0,0,0,6,6,2,159500,0,0,0,6,655,3,0,2613,0,1.5,0.0,1.0,0.0,0.0,47,1850,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,7,0,1,1,3,1,3,1164,5,0,2,2,0,0,1164,2,1,3,1164,2,9600,80,0,168,0,10,7,2,140000,0,0,0,6,1164,3,0,2531,0,1.5,0.0,1.0,0.0,0.0,37,3499,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,7,0,1,1,3,2,4,1162,5,0,2,3,0,0,1162,2,3,3,1162,3,9260,81,0,0,32,10,7,2,170000,0,0,0,6,1162,3,0,1139,0,2.0,0.0,1.0,0.0,0.0,1,3525,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,7,0,1,1,3,1,3,768,5,120,2,3,0,0,792,1,1,2,792,3,9022,52,0,0,0,8,10,0,109500,0,0,0,5,768,3,316,659,0,1.0,0.0,1.0,0.0,1.0,85,2651,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,3,0,6,1,4,2,4,927,5,0,2,3,0,0,1391,3,2,3,1962,3,8760,73,0,0,90,10,7,2,239799,0,571,0,7,1391,3,0,2757,0,2.5,0.0,1.0,0.0,0.0,0,4373,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3,3,113,6,3,3,2,4,30,5,0,2,3,0,0,744,2,3,3,1374,3,9734,61,0,0,0,10,7,2,167000,0,630,0,7,384,3,0,487,0,2.5,0.0,1.0,0.0,0.0,5,1904,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,3,0,6,1,3,4,5,543,5,0,3,3,3,1,1831,3,3,3,3627,3,35760,118,0,1378,76,10,10,2,625000,0,1796,0,10,1930,3,361,2446,0,4.5,0.0,1.0,0.0,1.0,11,6540,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,1,0,5,1,3,3,4,501,5,0,2,2,0,0,1040,2,1,3,1040,2,8982,45,0,0,0,10,10,2,134900,0,0,0,5,1040,3,0,2138,0,1.5,0.0,1.0,1.0,0.0,30,2582,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,3,0,6,1,3,1,4,1969,5,291,2,3,4,1,3228,2,2,3,3228,3,12692,0,0,0,75,10,8,2,430000,0,0,0,10,3200,3,264,1773,0,4.0,0.0,1.0,0.0,1.0,15,8739,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,3,0,6,1,3,4,4,484,5,0,2,2,3,1,1493,2,3,3,1493,3,13125,75,0,215,39,10,6,2,208900,0,0,0,7,1478,3,140,1471,0,3.0,0.0,1.0,0.0,1.0,11,3637,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,2,1,2,396,5,45,3,1,0,0,665,1,1,3,1330,2,7518,60,0,0,72,8,10,0,116500,0,665,0,7,396,3,0,2692,0,1.0,0.0,1.0,1.0,1.0,96,2201,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,3,1,4,728,5,0,2,3,0,0,728,2,3,3,1456,3,7713,64,0,16,24,10,7,2,177594,0,728,0,7,728,3,100,1740,0,2.5,0.0,1.0,0.0,0.0,0,3043,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3,7,0,1,1,3,1,3,780,5,0,2,2,0,0,948,2,1,3,1323,2,9184,57,0,0,0,7,10,2,122600,0,375,0,6,780,3,0,1287,0,1.0,1.0,1.0,0.0,1.0,60,2890,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,3,1,4,891,5,0,2,3,0,0,891,2,3,3,1686,3,7800,65,0,172,101,10,7,2,184000,0,795,0,8,891,3,144,2476,0,2.5,0.0,1.0,0.0,0.0,1,3720,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
