Bedroom_AbvGr,Bldg_Type,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Foundation,Garage_Area,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,House_Style,Kitchen_Qual,Land_Contour,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Neighborhood,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Pool_Area,Roof_Style,Sale_Condition,Sale_Price,Screen_Porch,Second_Flr_SF,Street,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,id,Has_Pool,Total_Bath,Has_garage,Has_Alley,Has_Basement,Has_Fireplace,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning
3,OneFam,7,0,Unf,Unf,Typical,No,Typical,684,SBrkr,115,Typical,Typical,No_Fireplace,0,773,PConc,0,0,No_Garage,No_Garage,1355,Two_Story,Good,Lvl,6882,60,0,0,Iowa_DOT_and_Rail_Road,0,Good,Above_Average,Paved,0,Gable,Normal,127000,0,582,Pave,0,7,684,AllPub,136,2034,0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,93,2866,0,0,0,1,0,1,0,0,0
2,OneFam,2,0,BLQ,Unf,Typical,No,Typical,450,SBrkr,0,Typical,Typical,No_Fireplace,0,864,CBlock,288,1,Unf,Typical,864,One_Story,Good,Lvl,7332,60,0,207,North_Ames,0,Above_Average,Above_Average,Paved,0,Gable,Abnorml,120000,0,0,Pave,0,4,864,AllPub,168,2614,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,47,2348,0,0,0,1,0,1,0,0,0
5,OneFam,6,0,Rec,Unf,Typical,No,Typical,1411,SBrkr,32,Typical,Typical,Good,2,1836,BrkTil,836,2,Unf,Typical,3672,Two_and_Half_Unf,Good,Lvl,19800,60,0,0,Edwards,80,Very_Good,Above_Average,Paved,0,Gable,Normal,415000,0,1836,Pave,0,7,1836,AllPub,684,2738,0,3.5,1.0,0.0,1.0,1.0,0.0,1.0,71,7689,0,0,0,1,0,1,0,0,0
4,OneFam,5,0,No_Basement,No_Basement,No_Basement,No_Basement,No_Basement,0,SBrkr,0,Good,Typical,No_Fireplace,0,929,Slab,0,0,No_Garage,No_Garage,1137,One_and_Half_Fin,Typical,Lvl,8050,57,0,0,Edwards,0,Very_Good,Average,Paved,0,Gable,Normal,96000,0,208,Pave,0,8,0,AllPub,0,1507,0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,61,1142,0,0,0,1,0,1,0,0,0
4,Duplex,7,0,Unf,Unf,Typical,No,Typical,1560,SBrkr,0,Typical,Typical,No_Fireplace,0,1560,CBlock,484,2,Unf,Typical,1560,One_Story,Typical,Lvl,8078,70,0,260,North_Ames,0,Average,Average,Paved,0,Hip,Normal,128600,0,0,Pave,0,8,1560,AllPub,0,1932,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,49,4687,0,0,0,1,0,1,0,0,0
2,OneFam,4,0,LwQ,Unf,Typical,No,Typical,0,SBrkr,244,Typical,Typical,No_Fireplace,0,1188,BrkTil,456,2,Unf,Typical,1869,One_and_Half_Fin,Typical,Lvl,8820,98,120,0,Old_Town,0,Above_Average,Average,Paved,0,Hip,Normal,124900,0,561,Pave,0,7,1088,AllPub,48,724,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,119,3009,0,0,0,1,0,1,0,0,0
2,OneFam,4,278,LwQ,ALQ,Typical,No,Typical,238,SBrkr,84,Typical,Typical,Good,1,740,BrkTil,216,1,Unf,Typical,865,One_and_Half_Fin,Typical,Bnk,10042,62,0,0,Edwards,0,Very_Good,Above_Average,Paved,0,Gable,Normal,108500,0,125,Pave,0,4,660,AllPub,0,2189,0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,87,2045,0,0,0,1,0,1,0,0,0
3,OneFam,1,0,ALQ,Unf,Typical,Mn,Typical,0,SBrkr,192,Typical,Typical,Fair,1,1194,CBlock,539,2,Fin,Typical,1194,One_Story,Typical,Lvl,8910,79,0,0,North_Ames,0,Above_Average,Above_Average,Paved,0,Hip,Normal,159500,0,0,Pave,0,6,655,AllPub,0,2613,0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,47,1850,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Typical,1164,SBrkr,0,Typical,Typical,No_Fireplace,0,1164,CBlock,528,2,Unf,Typical,1164,One_Story,Typical,Lvl,9600,80,0,168,Northwest_Ames,0,Average,Good,Paved,0,Hip,Normal,140000,0,0,Pave,0,6,1164,AllPub,0,2531,0,1.5,1.0,0.0,1.0,0.0,0.0,0.0,37,3499,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,Mn,Good,1162,SBrkr,0,Typical,Good,No_Fireplace,0,1162,PConc,483,2,Fin,Typical,1162,One_Story,Good,Lvl,9260,81,0,0,Sawyer_West,32,Average,Good,Paved,0,Gable,Normal,170000,0,0,Pave,0,6,1162,AllPub,0,1139,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3525,0,0,0,1,0,1,0,0,0
2,OneFam,7,0,Unf,Unf,Typical,No,Typical,768,SBrkr,120,Typical,Good,No_Fireplace,0,792,BrkTil,240,1,Unf,Fair,792,One_Story,Good,Lvl,9022,52,0,0,Old_Town,0,Very_Good,Average,Dirt_Gravel,0,Gable,Normal,109500,0,0,Pave,0,5,768,AllPub,316,659,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,85,2651,0,0,0,1,0,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Good,Mn,Good,927,SBrkr,0,Typical,Good,No_Fireplace,0,1391,PConc,868,3,RFn,Typical,1962,Two_Story,Good,Lvl,8760,73,0,0,College_Creek,90,Average,Good,Paved,0,Gable,Partial,239799,0,571,Pave,0,7,1391,AllPub,0,2757,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0,4373,0,0,0,1,0,1,0,0,0
3,OneFam,3,113,GLQ,Rec,Typical,Mn,Good,30,SBrkr,0,Typical,Good,No_Fireplace,0,744,PConc,400,2,Fin,Typical,1374,SLvl,Good,Lvl,9734,61,0,0,Gilbert,0,Average,Good,Paved,0,Gable,Normal,167000,0,630,Pave,0,7,384,AllPub,0,487,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,5,1904,0,0,1,0,1,1,0,0,0
4,OneFam,3,0,GLQ,Unf,Typical,Gd,Excellent,543,SBrkr,0,Good,Good,Typical,1,1831,PConc,807,3,Fin,Typical,3627,Two_Story,Good,Lvl,35760,118,0,1378,Northridge,76,Average,Very_Excellent,Paved,0,Hip,Normal,625000,0,1796,Pave,0,10,1930,AllPub,361,2446,0,4.5,1.0,0.0,1.0,1.0,0.0,1.0,11,6540,0,0,0,0,1,1,0,0,0
3,OneFam,1,0,ALQ,Unf,Typical,Av,Good,501,SBrkr,0,Typical,Typical,No_Fireplace,0,1040,CBlock,748,2,Unf,Typical,1040,One_Story,Typical,Lvl,8982,45,0,0,College_Creek,0,Average,Average,Paved,0,Gable,Normal,134900,0,0,Pave,0,5,1040,AllPub,0,2138,0,1.5,1.0,0.0,1.0,0.0,1.0,0.0,30,2582,0,0,0,0,1,1,0,0,0
4,OneFam,3,0,GLQ,Unf,Typical,No,Good,1969,SBrkr,291,Typical,Good,Good,1,3228,PConc,546,2,RFn,Typical,3228,One_Story,Good,Lvl,12692,0,0,0,Northridge,75,Average,Very_Good,Paved,0,Hip,Normal,430000,0,0,Pave,0,10,3200,AllPub,264,1773,0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,15,8739,0,0,0,0,1,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,Gd,Good,484,SBrkr,0,Typical,Typical,Typical,1,1493,PConc,508,2,Fin,Typical,1493,One_Story,Good,Lvl,13125,75,0,215,College_Creek,39,Average,Above_Average,Paved,0,Gable,Normal,208900,0,0,Pave,0,7,1478,AllPub,140,1471,0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,11,3637,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Fair,No,Fair,396,SBrkr,45,Good,Fair,No_Fireplace,0,665,BrkTil,390,1,Unf,Typical,1330,Two_Story,Typical,Lvl,7518,60,0,0,Iowa_DOT_and_Rail_Road,72,Very_Good,Average,Dirt_Gravel,0,Gable,Normal,116500,0,665,Pave,0,7,396,AllPub,0,2692,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,96,2201,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Good,728,SBrkr,0,Typical,Good,No_Fireplace,0,728,PConc,400,2,Fin,Typical,1456,Two_Story,Good,Lvl,7713,64,0,16,Gilbert,24,Average,Good,Paved,0,Gable,Partial,177594,0,728,Pave,0,7,728,AllPub,100,1740,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0,3043,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Typical,780,SBrkr,0,Typical,Typical,No_Fireplace,0,948,BrkTil,400,2,Unf,Typical,1323,One_and_Half_Fin,Typical,Lvl,9184,57,0,0,Old_Town,0,Good,Average,Paved,0,Gable,Normal,122600,0,375,Pave,0,6,780,AllPub,0,1287,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,60,2890,0,1,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Good,891,SBrkr,0,Typical,Good,No_Fireplace,0,891,PConc,462,2,Fin,Typical,1686,Two_Story,Good,Lvl,7800,65,0,172,Sawyer_West,101,Average,Good,Paved,0,Gable,Normal,184000,0,795,Pave,0,8,891,AllPub,144,2476,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,1,3720,0,0,0,1,0,1,0,0,0
3,OneFam,1,0,ALQ,Unf,Typical,Gd,Typical,802,SBrkr,0,Typical,Typical,Good,2,1900,CBlock,441,2,RFn,Typical,2448,Two_Story,Typical,HLS,18275,0,0,0,North_Ames,102,Very_Good,Good,Paved,0,Gable,Normal,277500,0,548,Pave,0,9,1438,AllPub,520,2618,0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,44,5311,0,0,0,0,1,1,0,0,0
3,OneFam,6,0,Rec,Unf,Typical,Mn,Typical,324,SBrkr,0,Typical,Typical,Typical,2,608,CBlock,217,1,Unf,Typical,1232,Two_Story,Typical,Lvl,6000,50,0,0,Brookside,0,Above_Average,Above_Average,Paved,0,Gable,Normal,128000,0,624,Pave,0,6,600,AllPub,0,2011,0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,68,2162,0,0,0,1,0,1,0,0,0
2,TwnhsE,3,0,GLQ,Unf,Typical,Av,Good,1115,SBrkr,0,Typical,Good,Typical,1,1191,CBlock,531,2,Unf,Typical,1191,One_Story,Good,HLS,3907,35,0,0,Blueste,81,Average,Very_Good,Paved,0,Gable,Normal,162500,0,0,Pave,0,5,1191,AllPub,112,300,0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,21,3693,0,0,0,0,1,1,0,0,0
3,OneFam,2,465,BLQ,GLQ,Typical,Gd,Good,683,SBrkr,0,Typical,Good,Typical,1,1592,PConc,484,2,Fin,Typical,1592,One_Story,Good,Lvl,11927,73,0,519,College_Creek,35,Average,Very_Good,Paved,0,Hip,Normal,228000,0,0,Pave,0,7,1556,AllPub,120,2152,0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,13,4453,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Good,858,SBrkr,0,Typical,Good,No_Fireplace,0,858,PConc,615,2,RFn,Typical,1716,Two_Story,Good,Lvl,8125,65,0,0,Somerset,53,Average,Above_Average,Paved,0,Gable,Normal,200825,0,858,Pave,0,7,858,AllPub,0,2466,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,1,3492,0,0,0,1,0,1,0,0,0
4,OneFam,1,0,ALQ,Unf,Typical,Gd,Typical,640,SBrkr,0,Typical,Typical,Poor,1,1576,CBlock,368,2,Fin,Typical,1576,SLvl,Good,Lvl,11475,85,0,90,North_Ames,0,Above_Average,Above_Average,Paved,0,Hip,Normal,174500,0,0,Pave,0,7,1208,AllPub,85,613,0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,48,3510,0,0,0,1,0,1,0,0,0
3,OneFam,6,311,Rec,BLQ,Typical,No,Typical,0,SBrkr,236,Typical,Typical,Poor,1,864,CBlock,360,1,Unf,Typical,864,One_Story,Typical,Lvl,8281,60,0,0,Sawyer,0,Average,Average,Paved,0,Gable,Normal,62383,0,0,Pave,0,5,864,AllPub,0,562,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,44,2045,0,0,0,0,1,1,0,0,0
1,TwnhsE,3,0,GLQ,Unf,Typical,Av,Good,151,SBrkr,0,Typical,Good,Typical,1,848,PConc,420,2,RFn,Typical,848,One_Story,Good,Lvl,4426,0,0,147,College_Creek,0,Average,Above_Average,Paved,0,Gable,Normal,149300,0,0,Pave,0,3,848,AllPub,149,1482,0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,4,1999,0,0,0,1,0,1,0,0,0
3,OneFam,1,127,ALQ,BLQ,Typical,Av,Typical,480,SBrkr,0,Typical,Typical,Typical,1,1117,CBlock,672,2,Unf,Typical,1117,SLvl,Typical,Lvl,7819,94,0,0,Edwards,0,Average,Above_Average,Paved,0,Gable,Abnorml,107000,0,0,Pave,0,6,1029,AllPub,144,280,0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,34,2898,0,0,0,1,0,1,0,0,0
4,OneFam,2,0,BLQ,Unf,Typical,No,Typical,380,SBrkr,0,Typical,Typical,Typical,1,983,CBlock,483,2,RFn,Typical,1796,Two_Story,Typical,Lvl,7056,71,0,415,North_Ames,50,Average,Above_Average,Paved,0,Hip,Normal,140000,0,813,Pave,0,8,780,AllPub,0,1281,0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,45,3008,0,0,0,1,0,1,0,0,0
4,OneFam,7,0,Unf,Unf,Typical,No,Good,1066,SBrkr,0,Typical,Good,Typical,1,1108,PConc,600,3,Fin,Typical,2385,Two_Story,Good,Lvl,10790,83,0,275,Northridge,38,Average,Good,Paved,0,Gable,Normal,252000,0,1277,Pave,0,8,1066,AllPub,120,1767,0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,9,4682,0,0,0,1,0,1,0,0,0
